vulnerability,description,evidence,CVSS_Strings
Cross-Site Request Forgery (CSRF),"Flaws in authentication mechanisms (e.g., weak passwords, session management) allow unauthorized access to accounts or resources.","Directory listing enabled on web server, exposing sensitive files in the '/uploads' directory.",CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
Security Misconfiguration,"Program attempts to write data beyond the boundaries of a fixed-length buffer, potentially leading to code execution.",Unencrypted credit card numbers found in database table 'payments'.,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
Cross-Site Request Forgery (CSRF),"Untrusted user input is passed to a system shell without proper validation, allowing arbitrary commands to be executed.",Crash report generated when sending 1000 bytes of 'A' characters to the application's input field.,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N
Using Components with Known Vulnerabilities,"Misconfigured or missing security controls, such as default passwords or unnecessary services, create vulnerabilities.",Default credentials 'admin:admin' successfully used to login to the admin panel.,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
Insufficient Logging & Monitoring,"An application exposes a reference to an internal implementation object, such as a file or database key, without proper authorization checks.",Reflected XSS detected in parameter 'name' on page /search.php. Payload: <script>alert('XSS')</script>,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N
Remote Code Execution (RCE),"Untrusted user input is passed to a system shell without proper validation, allowing arbitrary commands to be executed.","Directory listing enabled on web server, exposing sensitive files in the '/uploads' directory.",CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
Remote Code Execution (RCE),An attacker can execute arbitrary code on a remote system due to a flaw in the application.,Direct access to user profiles allowed by manipulating the 'user_id' parameter in the URL.,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
Cross-Site Scripting (XSS),Unsanitized user input allows injection of malicious scripts into a web page.,Direct access to user profiles allowed by manipulating the 'user_id' parameter in the URL.,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N
Insecure Deserialization,Unsanitized user input allows injection of malicious scripts into a web page.,Default credentials 'admin:admin' successfully used to login to the admin panel.,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H
XXE (XML External Entity),"Flaws in authentication mechanisms (e.g., weak passwords, session management) allow unauthorized access to accounts or resources.","CSRF token missing on form submission to /transfer.php, allowing potential exploitation.",CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:L
